10000	236.59	1 cup, Better Cheddars
10001	236.59	1 cup, Boston Baked Beans
10002	236.59	1 cup, Cheez-its
10003	236.59	1 cup, Chiclets
10004	236.59	1 cup, Goobers
10005	236.59	1 cup, Graham Bites
10006	236.59	1 cup, Jimmies
10007	236.59	1 cup, Jordan
10008	236.59	1 cup, Krunch Twists, crushed
10009	236.59	1 cup, Krunch Twists, loose
10010	236.59	1 cup, NFS
10011	236.59	1 cup, NS as to fresh or frozen
10012	236.59	1 cup, NS as to from fresh, frozen, or canned
10013	236.59	1 cup, NS as to variety
10014	236.59	1 cup, Ripplin's Potato Snack Chips
10015	236.59	1 cup, Squirrel Nuts
10016	236.59	1 cup, Teddy Grahams
10017	236.59	1 cup, Thin Bits
10018	236.59	1 cup, Toll House
10019	236.59	1 cup, acorn
10020	236.59	1 cup, acorn, cubed
10021	236.59	1 cup, balls
10022	236.59	1 cup, beef flavor
10023	236.59	1 cup, bite size
10024	236.59	1 cup, bite size (Nibs)
10025	236.59	1 cup, boneless
10026	236.59	1 cup, boneless, cooked
10027	236.59	1 cup, butternut
10028	236.59	1 cup, butternut, cubed
10029	236.59	1 cup, canned
10030	236.59	1 cup, canned, sliced
10031	236.59	1 cup, cherry tomato
10032	236.59	1 cup, chicken flavor
10033	236.59	1 cup, chicory
10034	236.59	1 cup, chocolate covered
10035	236.59	1 cup, chocolate-flavored
10036	236.59	1 cup, chopped
10037	236.59	1 cup, chopped or diced
10038	236.59	1 cup, chopped or sliced
10039	236.59	1 cup, chunks
10040	236.59	1 cup, chunks or flakes
10041	236.59	1 cup, coarse grain
10042	236.59	1 cup, common
10043	236.59	1 cup, cooked
10048	236.59	1 cup, cooked, cold
10049	236.59	1 cup, cooked, diced
10050	236.59	1 cup, cooked, diced (yield after skin/coating removed)
10051	236.59	1 cup, cooked, flaked
10052	236.59	1 cup, cooked, flaked and pieces
10053	236.59	1 cup, cooked, hot
10054	236.59	1 cup, cooked, pieces
